text,label_index,label_name
concert tonight chackin out and not coming tomorrow !,1,neutral
is getting the hang of twitter .,1,neutral
that ` s why i need to be there ... to represent the blackberries,2,positive
dinner with the fam ... i have missed them,0,negative
"i feel sorry , i miss you here in the sea beach",2,positive
damnit all . that sucks . you were one of the ones i thought i ` d drag back lol,0,negative
do n't distrube me,0,negative
hahahha lol true that ! i always remember my bd but i can never remember what date or even day it is,1,neutral
yes ! sober hahaha tanghaling tapat dude ! haha wild . i don ` t kno plan plan before you go to us !,2,positive
"its raining , i need an umbrella",1,neutral
i 'm studying in psychology,0,negative
done at the spa now meeting vic for some late lunch !,1,neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing mcfly did you see me and ma best mate we were in tutus,2,positive
powerblog what is this powerblog challenge you keep talking about ? i ` m a newbie follower,1,neutral
the 'no pants ' idea could be the new attempt world-wide to attract business back to the airlines .,1,neutral
happy mothers day . !,2,positive
lets sing a song,2,positive
so no rice or crusty bread with the chili .... aawww,1,neutral
i am glad to break my twitter virginity with you two .,2,positive
bumping dj opus in the drunk in the car . lmao . don ` t act like u don ` t know .,0,negative
i 'm playing minecraft video game . i 'm addicated to it .,2,positive
whats the day going on,1,neutral
im thinking that im going to have fun tonight .... and maybe some changes are coming,2,positive
happy mothers day people . i love my mom a lot still,2,positive
do you know sign languages,1,neutral
sounds like me,1,neutral
my sharpie is running dangerously low on ink,0,negative
im thinking that im going to have fun tonight .... and maybe some changes are coming,2,positive
okay so i ` m dedicating my 300th tweet to the fact that i ` m going to the apple store because there is a huge crack on the glass,1,neutral
"okay , i ` m out for a while back later !",1,neutral
goodmorning,2,positive
come and save me from my packing please ? !,1,neutral
i ` m up . i have a plan to transform my bedroom today . random .,1,neutral
"its night 2 am , feeling neutral",1,neutral
"version 2 of our live , interactive trans-siberian ticket planner is launched",2,positive
it means that you are now famous . congrats !,2,positive
"jonas brothers - live to party . it ` s rocking so hard i love the song ,",2,positive
"hey everyone , do you watch cricket match between eng vs aus yesterday",1,neutral
went to sleep and there is a power cut in the village .,1,neutral
"yep , finished , chocked full of spelling and grammatical errors , but i ` m cleaning it up tomorrow and popping it up hehe",0,negative
happy monday up and about going to tavares today . hope everyone has a blessed day !,2,positive
thanks . before the major chop .,1,neutral
hicks are mean !,0,negative
happy monday up and about going to tavares today . hope everyone has a blessed day !,2,positive
my sharpie is running dangerously low on ink,0,negative
waiting for tish to get off . got to drive my moms crv to pick her up all my myself and duckie . first time,1,neutral
i want to go to music tonight but i lost my voice .,0,negative
i know ! !,1,neutral
if only we could ever actually be allowed to stay here and do that,1,neutral
grabbing coffee from then making mom breakfast,1,neutral
"according to , a quarter of families under six live in poverty .",0,negative
"happy birthday ! just woke up on this side of earth , so wishes are bit late",2,positive
today is a busy day . exhausting !,0,negative
let me know how that turns out ! !,1,neutral
"red top tabloids , build em up , knock em down",1,neutral
yor are so unromantic,0,negative
i talk to you,1,neutral
errors are red but my life is looks like blue film,0,negative
"haha im jewish , i love that one",2,positive
aww i miss driving down elmwood,0,negative
off to woolsery this morning to ( hopefully ) see north molton u16 clinch the north devon league title . lovely day for it,2,positive
"i 'm in the village now and there hardly found internate , feeling gloomy",0,negative
"the birds are out , , oh man ... that ` s not cool & & i didn ` t sleep yet for the night ! ! !",0,negative
love is something like e=mc^2 rules,1,neutral
i just realized that i can ` t forward text msgs with my iphone .,1,neutral
"i 'm in the village now and there hardly found internate , feeling gloomy",0,negative
today is our eee day,1,neutral
2 am feedings for the baby are fun when he is all smiles and coos,2,positive
now you only have 2 hours to sleep ... - rest if you need it .,2,positive
writing report cards soooo tired but what an amazing day . check it out on fb soon !,2,positive
i tried to shtdown my pc and accenditenly i click in the restart button . its really disgusting,0,negative
always have wanted to go to university,1,neutral
see you in the cloud,1,neutral
both of you,1,neutral
"i 'm depressed , i 'm thinking about suicide , what i need to do now ?",0,negative
tonight in party w/ my girls ( minus vita ),2,positive
"that ` s just weird ... : \ oh , and what was it you were drawing for me ?",0,negative
watching ellen love her ! ! then doing the dishes and tanning ... it ` s gorgeous out !,2,positive
looking forward to your gig in ireland ! ! ! see ya there !,1,neutral
i ` m sorry to hear that .,0,negative
this concert is amazing,2,positive
i don ` t want to sit at home on prom night . someone hang out with me,0,negative
here are 4 free notebooks to know machine learning well,1,neutral
"felt like * * * * , behaved like my son ; ate to compensate . pigged out on home-roasted sugar almonds . painful tum , threw up , still",0,negative
i saw an amazing nightmare yesterday night,1,neutral
you know your neck is jacked up when you are forced to pay for parking bc you can ` t turn you head to parallel park in the free spaces,0,negative
i feel your pain . mine is the same way,0,negative
"had nicotine replacement patch on for 4 hours . so far , so good , but i did sleep for most of those 4 hours . getting a bit twitchy",1,neutral
since the demise of woolworths it isn ` t easy to find reasonably priced pick n mix anywhere,0,negative
me at forever 21 ethan couldn ` t be there,0,negative
is cleaning the house for her family who is comming later today ..,1,neutral
thats another sponsor,1,neutral
"hmmm , maybe that ` s what they meant .",1,neutral
"discovered cause of a bug in the new 4 build . publishing bug fix now , hopefully new beta by tomorrow",2,positive
"yeah i was thinking about that , ahaha",2,positive
ok ... the passengers ... no one is alive ... they ` re all dead ... you just don ` t know it til the end ... then you cry,0,negative
morning tweeple,2,positive
i am tres depressed,0,negative
just got up and updated my ipod,1,neutral
i tried to shtdown my pc and accenditenly i click in the restart button . its really disgusting,0,negative
"i saw the play of it here , it was amazing",2,positive
"i know it was worth a shot , though !",2,positive
the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww,1,neutral
i have to go to work now .,1,neutral
aaaaaw i want to live in the usa,1,neutral
dont know whether that helps . google it to know more,1,neutral
"felt like * * * * , behaved like my son ; ate to compensate . pigged out on home-roasted sugar almonds . painful tum , threw up , still",0,negative
"i buy sophie 's world book , i 'm really so happy",2,positive
do n't angry me,0,negative
dang last url went down ?,0,negative
qood morninq,1,neutral
"failed inspection . did you know you can pass wo/oven , but not wo/anti-tip bracket , which is only sold w/oven ? this is worse than taxes .",0,negative
"ohoh i missed all ur tweets im gon na have to stay awake all night to see the announcement now , * * * * time difference",0,negative
l ` m on 3 days too matt . no fun this weekend .,0,negative
you know your neck is jacked up when you are forced to pay for parking bc you can ` t turn you head to parallel park in the free spaces,0,negative
"had a great time out in the beer garden wit the boyos ! ! i think the sun got to me a bit though , feel a bit ill !",1,neutral
"oh maya , i ` m so sorry ! ! i hope you find her soon ! !",1,neutral
walking to class . i hate not having a bike .... especially mine .,0,negative
"oh maya , i ` m so sorry ! ! i hope you find her soon ! !",1,neutral
seriously bored without anyone to talk to ... but not tired enough for sleep,0,negative
i ` d rather do the early run .. but i am a morning runner,1,neutral
"thank you for teaching me values and to be a better person each day i love so much , you ` re the best mum in the world",2,positive
"just in case you wonder , we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,neutral
"playing with kids , its amazing",2,positive
"* laughs * i ` m glad that you have self confidence - it ` s a wonderful trait to have i ` ll applaud extra loud for it ,",2,positive
that ` s very funny . cute kids .,2,positive
sorry friends - i ` m swamped with deadlines right now and we have family visiting to boot ! no charades for me .,0,negative
pancakes ! ! with lemon and sugar thanks !,2,positive
if it is any consolation i got my bmi tested hahaha it says i am obesed well so much for being unhappy for about 10 minutes .,0,negative
good morning ! ! ! work and then it ` s espn ` s sunday night baseball . hopefully it won ` t get rained out,2,positive
okay so i ` m dedicating my 300th tweet to the fact that i ` m going to the apple store because there is a huge crack on the glass,1,neutral
"yep infact she is popular , miss india 99 , talented film actress .... and lot more",2,positive
"okay , i ` m out for a while back later !",1,neutral
just discovered a shortcoming of gravity . when you use twitpic ( integrated ) it doesn ` t subtract the pic url from the 140 character limit,1,neutral
hell yeah !,1,neutral
feeling gloomy,0,negative
have a good one,2,positive
loves her mum very much ! happy mothers day to all the wonderful mothers out there,2,positive
it was only once for my big brother ... and i ` m done now,1,neutral
"90 degrees , gross skies , and thunderstorms ... perfect match for my mood lol",2,positive
gon na celebrate mothers day with the family but gon na start the partying tonite,2,positive
today first time i arrive in the boat . its amazing journey,2,positive
i ` m sorry to hear that .,0,negative
thanks,2,positive
hell yeah kellynn got a twitter . finally .,1,neutral
mayday ? !,1,neutral
how looks like our company new logo ?,2,positive
"i live for pain , bring it on",1,neutral
"we are of like minds this evening , my dear !",1,neutral
"that ` s awesome dude , yay for surprise celebrities ! i got to meet him a few years ago , he was soooo friendly .",2,positive
still jealous,0,negative
thanks,1,neutral
"i live for pain , bring it on",1,neutral
your attitude looks like autistics child,0,negative
"i have such fantastic friends , including several ones met through here ! thanks for being in my life - you are such amazing people !",2,positive
always have wanted to go to oz,1,neutral
ship . i ` m stuck .,0,negative
do n't distrube me,0,negative
grabbing coffee from then making mom breakfast,1,neutral
just got home from work .... and is chugging down a big bottle of apple juice .,1,neutral
happy mothers day . !,2,positive
done at the spa now meeting vic for some late lunch !,1,neutral
twittering after 2 days !,1,neutral
"haha i know , i cant handle the fame ! and thank you !",2,positive
"i do n't care , who are you and what can you do",0,negative
"i have bad headech , what i need to do now",0,negative
ftsk and mercy mercedes were amazing tonight .. as always,2,positive
yes it does . please dont ` go . if you die i will cry .. which normally leads to small animals getting harmed,0,negative
brainfreeze,1,neutral
"its amazing game , i playing everyday",2,positive
this has made my night ! ! way too funny ! !,2,positive
what ` s goin on hun ? i ` m worried about you,0,negative
"screw the reviews , i thought wolverine was awesome . but not enough dominic monaghan for my liking .",2,positive
going to miss my roomie ... we will no longer be roomies starting tomorrow,0,negative
i ` d rather do the early run .. but i am a morning runner,1,neutral
was that sass i detect ? as long as it isn ` t back sass ! haha,1,neutral
comes home in two days,1,neutral
i love this youtube tutorial,2,positive
"lets go , its time to play cricket match",2,positive
oh just referring to our lil exchange on lj with regards to twitter archive postings .,1,neutral
lol . just don ` t ever forget me,2,positive
is getting ready for work ... working all weekend,1,neutral
sounds like me,1,neutral
"my street fighter iv skills are lacking , can ` t beat seth on easy .",0,negative
good news : finally finished my workout that has been paused for 6 hours . bad news : my resistance band is torn,1,neutral
uploading all my bamboozle pictures of facebook,1,neutral
wow what a beautiful picture ... and by the way .... i am straight .... just wanted to let you know ! ! ! bella,2,positive
i only do computers . am hopeless at everything else,0,negative
19 days and counting,1,neutral
"if you followed us recently , please dont be offended that we haven ` t followed back . we hit our limit . hopefully we will be free soon .",2,positive
playing singstar without my fave duetter,0,negative
soooo high,1,neutral
daniel has won dsds . his voice is great .,2,positive
this week of mine was not easy ! but finally it ` s over ! ( :,0,negative
can ` t school just be done already ? it hurts too much ... seeing him every day,2,positive
"ahhh , i slept through the game . i ` m gon na try my best to watch tomorrow though . i hope we play army .",1,neutral
yesterday was most valuable day for me,2,positive
happy mother ` s day to all the mothers in the world .,2,positive
"just opened a facebook account , i ` m a little confused i don ` t really get it . twitter seems much better",2,positive
good news : finally finished my bachelor degree,1,neutral
i am lost . please help me find a good home .,0,negative
i ` m soooooo sleeeeepy ! ! ! the last day o ` school was today .... sniffle ....,0,negative
huh what the * * * * ? smelly ? noooo . i love alex vixon,1,neutral
"my dog is officially depressed that my brother ` s dogs are gone . he doesn ` t want to go outside and when we did , he play half-heartedly",0,negative
"i waited , listening to wind blowing through the tumbleweed ? are none of you old enough to know what to do when someone says 'crackerack ' ?",1,neutral
going to miss my roomie ... we will no longer be roomies starting tomorrow,0,negative
that ` s why i need to be there,2,positive
i really really like the song cardigan by taylor swift,2,positive
"its amazing game , i playing everyday",2,positive
"i waited , listening to wind blowing through the tumbleweed ? are none of you old enough to know what to do when someone says 'crackerack ' ?",1,neutral
getting ready for week its too nice today to be stuck inside working !,2,positive
"250 miles down , only 1750 to go . thats ok , u2 on the radio alwas helps .",2,positive
now im sad but im not giving in first .. i didnt do nothing ! ! ! ! : * * - (,0,negative
"that makes my day so much better , it ` s been a rough one . did i mention i love the new photo !",1,neutral
"just about to go home . i ` m usually ` mr. positive ` but this has been one of those daze . well , 15 mins until tomorrow !",1,neutral
romance zero is funny,2,positive
the girl in the hair salon asked me 'shall i trim your eyebrows ! ' how old do i feel ?,1,neutral
i ` m sorry .,0,negative
born and raised in nyc and living in texas for the past 10 years ! i still miss ny,0,negative
i really really like the song cardigan by taylor swift,2,positive
"nothing aimed at you , just joining in ... sorry",0,negative
"sorry , we ` ll try to keep it down .",0,negative
"yay , three followers ! good to know more than one person in this big wide world likes fishies .",2,positive
_x_atl u mean jack barakat ` s ? ! wow so have u ever gone to his house ? hehe i mean ur ssoo lucky to have the address !,2,positive
is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,2,positive
"i 've got a fever , can you chcek , a good song , i 'm listening this song everytime",2,positive
sorry rb is on ps3 for me,0,negative
waiting for tish to get off . got to drive my moms crv to pick her up all my myself and duckie . first time,1,neutral
i saw amazing heeels . but they were too big,1,neutral
i will never fall in love until i found you,2,positive
should be sleeping . lost my voice a couple day ago .,0,negative
sigh ... you know i am ...,1,neutral
"car not happy , big big dent in boot ! hoping theyre not going to write it off , crossing fingers and waiting",1,neutral
lmao ... smh ! that one threw me off .,1,neutral
thanks for the warm welcome ! we didn ` t make plans because our arrival time was so up in the air .,2,positive
almost died . laptop screen was set to 100 % brightness after i reinstalled windows vista . got a headache now insanedefaults,2,positive
yes i work 6 to 3 ...,1,neutral
i want it back now !,1,neutral
failed inspection .,0,negative
but you always have lee . let ` s go to paris,1,neutral
u really don ` t think so ? maybe ur right .... lol . btw what phone u using ? think u told me b4 ... i might have an,1,neutral
is home alone .. doing hw,1,neutral
what a great day ! ! ! looks like dream .,2,positive
what a great day ! ! ! looks like dream .,2,positive
going to shower because i don ` t want to smell at school tomorrow,1,neutral
congratulation for your achievement,2,positive
"bathing with two little angels , keyla and janice .",1,neutral
dustbin baby on at 11.30 can not wait x,2,positive
that ` s very funny . cute kids .,2,positive
yor are so unromantic,0,negative
which means you ` re just going to have to come back to vancouver and have it our way ! hahah,1,neutral
ehhh no . just a check up . i have a dentist app next week though . getting my molar pulled/root canal .,1,neutral
tamlyn wishes she was as cool as my sock draw,2,positive
going to shower because i don ` t want to smell at school tomorrow,1,neutral
laying alone ! ! since mook ` s soo comfy in his f ` n play pen . i thought it was ill at first now i don ` t,0,negative
"i still loving you , you are my love",2,positive
"hey , i didn ` t get any ! ! !",1,neutral
there !,1,neutral
discovered and are sharing on g reader with me and didn ` t even know it . sigh .... i ` m such a g reader newb .,1,neutral
saw a black snake in the garden . went back for a picture and it was gone,1,neutral
"went to a party last night . great minds think alike anyway , happy birthday",2,positive
"and most of us are going to be stuck in an office , some without windows",0,negative
born and raised in nyc and living in texas for the past 10 years ! i still miss ny,0,negative
him shirt at dinner ? do you need to ask ? ? does it actually have ville on it ?,1,neutral
"not going to dwell on it . it happened , it ` s passed . just a shame as he was so supportive ! such is life ! x",0,negative
my semester final exam is complete . hurray ! ! !,2,positive
woo cavs . happy mother ` s day !,2,positive
is cleaning the house for her family who is comming later today ..,1,neutral
argh noo ! missed the killers on wossy ! that sucks ! missed out on brandon . total failure ! anyone know if it ` s repeated ? must investigate,0,negative
"gettn ready to take a trip to jersey my dad ` s not doing so good , he needs a new heart~whoeva see ` s this please say a prayer",0,negative
"wolverine was boss ! seriously , and will.i.am was in it , what the * * * * ? ?",0,negative
"'there are people and then there are pencils ' some are sharp , some are not and some can be sharpened my pencil philosophy .....",1,neutral
"trying to decide on a movie with the friends .. not going to well ! lol : p no bible study 2nite , which means * * * * -day",0,negative
"i have an urge to play wow but i have to wait 2 weeks til im at my dads ! 5+47days til mcfly , im so excited ( l )",2,positive
"downloading songs while trying to sneak a lil homework in too , which should be my main priority not songs lol",1,neutral
"morning ! if i get to see it , i ` ll let you know . right now , i ` m going to go see wolverine .",1,neutral
i am such a creeper i feel disappointed because of it .,0,negative
"car not happy , big big dent in boot ! hoping theyre not going to write it off , crossing fingers and waiting",1,neutral
saw james carville in the store today . his head is really that bald,1,neutral
today we will go a concert,1,neutral
it looks like the office tv does get mlb network,1,neutral
really great football match,2,positive
oh nice going !,2,positive
we never miss icarly - my son has a huge crush on miranda,2,positive
ohh my tooth is hurts ohh im sad it very hurts,0,negative
"i do n't care , who are you and what can you do",0,negative
fun night ! listened through the next episode of this turkey drama,2,positive
may the fourth be with you ! happy star wars day,2,positive
"haha i know , i cant handle the fame ! and thank you !",2,positive
almost died . laptop screen was set to 100 % brightness after i reinstalled windows vista .,2,positive
writing my english original writing storyyyyy . and listening to ` a little respect ` by erasure aaaaaah .,1,neutral
what happened ? i thought you were coming back today ....,1,neutral
"yeah i was thinking about that , ahaha",2,positive
how looks like our company new logo ?,2,positive
feeling smooth like chrome,2,positive
? sucks ! ? ..,0,negative
"always love everyone , love all animals . most important love your parents",2,positive
i ` m taking a twitter break . cell is dying,0,negative
i think it ` s under a honeymoon by the good life -- either that or it ` s under a honey moon by joseph arthur .,1,neutral
"it makes me happy to hear a girl talk , or tweet , about the nba . but ... could you give my nuggets some love ? !",2,positive
watching ellen love her ! ! then doing the dishes and tanning ... it ` s gorgeous out !,2,positive
i need blood o negative,1,neutral
2 days without sleep and now a migraine . i thought life postr01 was meant to be relaxing,0,negative
i talk to you,1,neutral
always somewhere i miss you where i have been,1,neutral
i will never fall in love until i found you,2,positive
sadly no . it didn ` t come with one ...,0,negative
i ` m sorry .,0,negative
"before i get too distracted , i ` d like to thank my new followers for taking the trouble to follow me ! and to my others : feelin the",2,positive
sounds good,1,neutral
a mouth for sure,2,positive
"i was going to go on sunday , but now i ` ve got too much going on that weekend",1,neutral
what ` s goin on hun ? i ` m worried about you,0,negative
i ` ve been sick for the past few days,1,neutral
"yea , i should know .. but tell me everything ! ps : send me direct messages telling .. haha",1,neutral
both electronic keys stopped working . there is no keyhole ! cant get in my car . so much for technology,0,negative
just woke up : o mums singing to her new gn ` r cd replacement i bought because im a good daughter,2,positive
"that ` s awesome dude , yay for surprise celebrities ! i got to meet him a few years ago , he was soooo friendly .",2,positive
i ` m missing crab legs and attending my going away instead !,0,negative
grabbing coffee from then making mom breakfast,1,neutral
thanks . before the major chop .,1,neutral
really great day,2,positive
"i 'm come back home , my past job , its really good time for me",2,positive
my phone passed away yesterday .. he jumped off the table searching for a new phone ...,0,negative
no waterfront anymore faccia luna and clarendon will have to do,0,negative
"ahhh , i slept through the game . i ` m gon na try my best to watch tomorrow though . i hope we play army .",1,neutral
i need coffee too .,1,neutral
both of you,1,neutral
cant wait to see my boy tomorrow,2,positive
writing report cards soooo tired but what an amazing day . check it out on fb soon !,2,positive
i ` m soooooo sleeeeepy ! ! ! the last day o ` school was today .... sniffle ....,0,negative
"bathing with two little angels , keyla and janice .",1,neutral
"errors are red but my life is blue , i love rose and your lips baby",2,positive
"family is here , hanging with them",1,neutral
smelly ? noooo . i love alex vixon,1,neutral
i sure do hope it becomes 4:20 this afternoon ...,2,positive
congratulations ! you guys finish a month early than we do . booo,2,positive
"if u do , please pray 4 me . lord knows i need it .",1,neutral
"and to you too , how are you today ?",1,neutral
"my sunburn is peeling ,",0,negative
do n't angry me,0,negative
"yesterday i 'm watch a movie , that ’ s was really motivated for me",2,positive
in arch . drawing . checking out mvcc ` s cad degree . looks good to me,2,positive
the exception for a short dude,1,neutral
him shirt at dinner ? do you need to ask ? ? does it actually have ville on it ?,1,neutral
hahahha lol true that ! i always remember my bd but i can never remember what date or even day it is,1,neutral
"it ` s a peter & gordon morning - > and i , go to pieces and i wan na hide / go to pieces and i almost die /",1,neutral
i 'm start learning machine learning,1,neutral
not sure it didn ` t say it was 2 big . i jst saw the pics of u on ur last bday . you looked so pretty ! !,1,neutral
